   0.374,  -0.134,   2.184,   0.988,   0.158,   0.010,   0.486,  -0.671,   0.409,   -5.146,   -8.049,   39.034,    0.290,   -0.044,    0.950,    0.107,1.639204978942871
   0.285,  -0.179,   1.892,   1.632,   0.626,  -0.151,   0.464,  -0.636,   0.432,   -5.304,   -6.625,   39.271,    0.293,   -0.036,    0.951,    0.092,1.6551218032836914
   0.256,  -0.214,   1.696,   1.992,   0.893,  -0.103,   0.478,  -0.608,   0.432,   -5.444,   -4.990,   39.286,    0.295,   -0.034,    0.952,    0.075,1.6716129779815674
   0.220,  -0.205,   1.516,   2.302,   1.243,   0.048,   0.457,  -0.601,   0.515,   -5.548,   -3.291,   39.411,    0.297,   -0.034,    0.953,    0.055,1.6882009506225586
   0.155,  -0.199,   1.235,   2.602,   1.526,   0.307,   0.406,  -0.622,   0.477,   -5.582,   -1.588,   39.583,    0.297,   -0.034,    0.954,    0.035,1.705152988433838
   0.036,  -0.183,   0.920,   2.709,   0.896,   0.074,   0.435,  -0.608,   0.568,   -5.541,    0.064,   39.765,    0.296,   -0.033,    0.954,    0.018,1.7218718528747559
  -0.011,  -0.147,   0.681,   2.575,   0.608,  -0.286,   0.399,  -0.538,   0.583,   -5.426,    1.584,   39.945,    0.299,   -0.031,    0.954,    0.002,1.73836088180542
  -0.060,  -0.194,   0.483,   2.157,   0.738,  -0.478,   0.333,  -0.517,   0.606,   -5.139,    3.986,   40.198,    0.307,   -0.034,    0.951,   -0.026,1.7719359397888184
  -0.119,  -0.224,   0.343,   1.443,   1.055,  -0.158,   0.406,  -0.538,   0.614,   -5.053,    4.755,   40.343,    0.310,   -0.049,    0.949,   -0.023,1.7885658740997314
  -0.155,  -0.119,   0.234,   0.648,   0.720,   0.269,   0.406,  -0.490,   0.606,   -5.009,    5.204,   40.434,    0.311,   -0.073,    0.948,   -0.019,1.806471824645996
  -0.088,   0.009,   0.200,  -0.078,   0.085,   0.455,   0.413,  -0.503,   0.659,   -5.008,    5.332,   40.358,    0.307,   -0.092,    0.947,   -0.022,1.8230400085449219
   0.221,   0.197,   0.315,  -0.807,  -0.960,   0.373,   0.406,  -0.483,   0.629,   -4.905,    4.762,   39.819,    0.299,   -0.063,    0.952,   -0.022,1.8551039695739746
   0.380,   0.224,   0.623,  -2.087,  -0.889,  -0.829,   0.413,  -0.545,   0.545,   -3.941,    3.344,   38.438,    0.302,   -0.025,    0.953,    0.000,1.8894128799438477
   0.481,   0.064,   0.930,  -3.242,   0.386,  -2.316,   0.428,  -0.573,   0.576,   -3.090,    2.535,   37.614,    0.315,   -0.009,    0.949,    0.022,1.9050989151000977
   0.479,   0.031,   1.024,  -3.368,   0.672,  -2.633,   0.399,  -0.510,   0.553,   -2.104,    1.832,   36.915,    0.335,   -0.014,    0.941,    0.049,1.922178030014038
   0.421,   0.047,   1.136,  -3.170,   0.706,  -2.707,   0.428,  -0.559,   0.591,   -1.047,    1.297,   36.235,    0.356,   -0.019,    0.932,    0.071,1.938230037689209
   0.233,   0.048,   1.288,  -2.389,   0.772,  -2.703,   0.428,  -0.531,   0.561,    0.036,    0.970,   35.642,    0.378,   -0.020,    0.921,    0.086,1.956108808517456
  -0.052,  -0.119,   1.345,  -1.626,   0.592,  -2.687,   0.457,  -0.587,   0.545,    1.085,    0.817,   35.173,    0.398,   -0.026,    0.912,    0.093,1.9716088771820068
  -0.257,  -0.425,   1.352,  -0.995,   0.526,  -2.147,   0.442,  -0.503,   0.515,    2.705,    0.992,   34.681,    0.433,   -0.044,    0.894,    0.106,2.005044937133789
  -0.321,  -0.626,   1.423,  -0.720,   0.599,  -1.665,   0.428,  -0.545,   0.500,    3.182,    1.442,   34.908,    0.446,   -0.055,    0.886,    0.112,2.022001028060913
  -0.421,  -0.775,   1.604,   0.055,   0.930,  -0.401,   0.529,  -0.517,   0.576,    3.428,    2.211,   35.218,    0.452,   -0.072,    0.882,    0.114,2.039113998413086
  -0.442,  -0.650,   1.590,   1.249,   0.864,   0.897,   0.457,  -0.490,   0.561,    3.549,    3.294,   35.839,    0.449,   -0.086,    0.883,    0.106,2.054947853088379
  -0.423,  -0.553,   1.505,   2.000,   0.418,   1.214,   0.428,  -0.517,   0.606,    3.607,    4.576,   36.426,    0.442,   -0.088,    0.888,    0.090,2.0714759826660156
  -0.362,  -0.413,   1.424,   2.595,   0.121,   1.358,   0.435,  -0.497,   0.614,    3.661,    5.981,   37.147,    0.433,   -0.085,    0.895,    0.069,2.0885720252990723
  -0.217,  -0.193,   1.331,   3.094,   0.189,   1.224,   0.464,  -0.510,   0.553,    3.724,    7.456,   37.906,    0.426,   -0.079,    0.900,    0.046,2.1049869060516357
  -0.116,  -0.049,   1.213,   2.950,   1.103,   1.035,   0.457,  -0.448,   0.606,    3.800,    8.970,   38.772,    0.420,   -0.074,    0.904,    0.019,2.1214559078216553
  -0.036,   0.056,   1.007,   2.796,   1.933,   1.176,   0.406,  -0.399,   0.758,    4.032,   11.886,   40.195,    0.407,   -0.077,    0.910,   -0.038,2.155040979385376
  -0.166,   0.174,   0.655,   2.990,   0.832,   0.890,   0.399,  -0.427,   0.697,    4.278,   13.275,   41.018,    0.399,   -0.073,    0.911,   -0.069,2.1718900203704834
  -0.158,   0.226,   0.539,   2.975,   0.368,   0.553,   0.362,  -0.406,   0.750,    4.575,   14.512,   41.684,    0.395,   -0.066,    0.911,   -0.099,2.1880338191986084
  -0.173,   0.240,   0.450,   2.883,   0.110,   0.200,   0.384,  -0.399,   0.818,    4.842,   15.420,   41.910,    0.394,   -0.057,    0.909,   -0.128,2.2046968936920166
  -0.239,   0.215,   0.377,   2.450,  -0.409,  -0.304,   0.362,  -0.329,   0.780,    5.123,   16.270,   42.340,    0.395,   -0.052,    0.903,   -0.159,2.2215588092803955
  -0.160,   0.199,   0.383,   1.861,  -0.107,  -0.243,   0.442,  -0.287,   0.795,    5.296,   16.884,   42.677,    0.398,   -0.046,    0.898,   -0.183,2.2387359142303467
  -0.182,   0.154,   0.340,   1.162,  -0.016,   0.351,   0.406,  -0.273,   0.795,    5.302,   17.150,   42.565,    0.398,   -0.047,    0.894,   -0.200,2.254964828491211
  -0.247,   0.161,   0.229,   0.268,  -0.178,   0.499,   0.428,  -0.245,   0.750,    5.147,   17.057,   42.468,    0.392,   -0.050,    0.892,   -0.220,2.2883529663085938
  -0.244,   0.078,   0.228,  -0.488,  -0.489,   0.179,   0.471,  -0.259,   0.795,    5.004,   16.575,   42.163,    0.392,   -0.065,    0.889,   -0.226,2.3057219982147217
  -0.240,   0.057,   0.299,  -0.776,  -0.676,   0.062,   0.428,  -0.217,   0.780,    4.822,   15.810,   41.647,    0.394,   -0.071,    0.890,   -0.220,2.3213608264923096
  -0.216,   0.038,   0.327,  -0.969,  -0.733,  -0.130,   0.435,  -0.294,   0.788,    4.561,   14.789,   40.927,    0.396,   -0.075,    0.891,   -0.209,2.338670015335083
  -0.186,   0.015,   0.416,  -1.377,  -0.775,   0.168,   0.406,  -0.308,   0.788,    4.227,   13.536,   40.244,    0.399,   -0.084,    0.893,   -0.191,2.3556478023529053
  -0.114,   0.017,   0.403,  -2.131,  -0.731,   0.642,   0.457,  -0.273,   0.735,    3.792,   11.971,   39.401,    0.397,   -0.088,    0.898,   -0.168,2.3722150325775146
  -0.045,  -0.036,   0.423,  -3.493,  -0.505,   0.696,   0.449,  -0.343,   0.667,    2.971,    7.742,   37.353,    0.386,   -0.098,    0.911,   -0.111,2.405197858810425
  -0.042,  -0.043,   0.534,  -4.293,  -0.277,   0.452,   0.457,  -0.364,   0.705,    2.763,    5.253,   36.369,    0.379,   -0.106,    0.916,   -0.074,2.4221508502960205
  -0.091,  -0.139,   0.781,  -5.084,  -0.053,  -0.422,   0.413,  -0.476,   0.659,    2.647,    2.731,   35.607,    0.377,   -0.117,    0.918,   -0.031,2.438138008117676
  -0.068,  -0.132,   0.990,  -4.816,  -0.414,  -0.949,   0.391,  -0.476,   0.606,    2.593,    0.324,   35.167,    0.378,   -0.127,    0.917,    0.013,2.454927921295166
   0.001,  -0.190,   1.141,  -4.404,  -0.713,  -0.793,   0.428,  -0.559,   0.576,    2.528,   -1.854,   34.842,    0.380,   -0.133,    0.914,    0.052,2.4715030193328857
   0.042,  -0.240,   1.331,  -3.994,  -0.871,  -0.581,   0.420,  -0.566,   0.568,    2.482,   -3.695,   35.013,    0.380,   -0.134,    0.911,    0.087,2.48834490776062
   0.017,  -0.415,   1.833,  -3.138,  -0.676,  -0.140,   0.457,  -0.573,   0.561,    2.400,   -5.063,   35.243,    0.379,   -0.131,    0.909,    0.115,2.5047309398651123
   0.095,  -0.478,   1.934,  -2.479,  -0.533,   0.158,   0.420,  -0.594,   0.477,    2.352,   -5.958,   35.585,    0.376,   -0.131,    0.907,    0.136,2.521164894104004
   0.053,  -0.544,   1.949,  -1.769,  -0.535,   0.319,   0.449,  -0.594,   0.523,    2.319,   -6.409,   35.982,    0.371,   -0.130,    0.907,    0.151,2.537883996963501
   0.090,  -0.426,   1.992,  -0.462,  -0.717,   0.320,   0.442,  -0.629,   0.500,    2.306,   -6.439,   36.207,    0.368,   -0.120,    0.909,    0.157,2.554999828338623
   0.109,  -0.382,   2.004,   0.366,  -0.429,   0.171,   0.471,  -0.601,   0.500,    2.315,   -6.133,   36.441,    0.367,   -0.108,    0.911,    0.153,2.571915864944458
   0.141,  -0.327,   1.903,   0.696,   0.002,   0.126,   0.406,  -0.615,   0.500,    2.329,   -5.541,   36.670,    0.368,   -0.097,    0.914,    0.145,2.5881149768829346
   0.120,  -0.270,   1.720,   0.877,   0.720,   0.220,   0.428,  -0.587,   0.470,    2.417,   -3.604,   37.097,    0.368,   -0.092,    0.917,    0.126,2.621790885925293
   0.018,  -0.289,   1.426,   1.510,   1.060,   0.232,   0.399,  -0.580,   0.523,    2.482,   -2.318,   37.406,    0.369,   -0.090,    0.918,    0.111,2.6381030082702637
  -0.013,  -0.289,   1.268,   1.920,   1.087,   0.164,   0.399,  -0.622,   0.492,    2.536,   -0.904,   37.604,    0.370,   -0.091,    0.920,    0.094,2.6546599864959717
  -0.044,  -0.286,   1.145,   2.273,   1.083,   0.263,   0.428,  -0.559,   0.515,    2.610,    0.523,   37.865,    0.371,   -0.092,    0.921,    0.074,2.671236038208008
  -0.073,  -0.243,   0.940,   2.724,   0.806,   0.409,   0.384,  -0.608,   0.553,    2.682,    1.933,   38.169,    0.371,   -0.090,    0.923,    0.055,2.6880879402160645
  -0.112,  -0.202,   0.730,   2.753,   0.238,   0.527,   0.391,  -0.545,   0.606,    2.757,    3.205,   38.405,    0.369,   -0.086,    0.925,    0.037,2.7047648429870605
  -0.119,  -0.201,   0.632,   2.593,   0.144,   0.468,   0.406,  -0.497,   0.629,    2.850,    4.302,   38.608,    0.368,   -0.081,    0.926,    0.018,2.7217729091644287
  -0.124,  -0.196,   0.533,   2.386,   0.084,   0.388,   0.384,  -0.497,   0.614,    2.954,    5.175,   38.871,    0.367,   -0.078,    0.927,    0.004,2.7377538681030273
  -0.145,  -0.169,   0.433,   1.739,   0.103,   0.241,   0.362,  -0.476,   0.621,    3.036,    5.770,   39.010,    0.366,   -0.082,    0.927,   -0.003,2.7547919750213623
  -0.081,  -0.108,   0.440,   0.708,   0.548,   0.245,   0.362,  -0.462,   0.689,    3.109,    6.115,   39.301,    0.365,   -0.088,    0.927,   -0.005,2.7714338302612305
